item.value,class.value,itemLabel.value,classLabel.xml:lang,classLabel.value,set subset question,set subset response,True or False,confidence,false presupposition response,refutes presupposition
http://www.wikidata.org/entity/Q7993487,http://www.wikidata.org/entity/Q482994,Where the Wild Things Are,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Where the Wild Things Are is an album?","False. Where the Wild Things Are is a children's picture book written and illustrated by Maurice Sendak, first published in 1963. 100%",False,100,"Where the Wild Things Are is a children's picture book written and illustrated by Maurice Sendak, first published in 1963. It is not an album.",False
http://www.wikidata.org/entity/Q3018892,http://www.wikidata.org/entity/Q482994,Vanilla Fudge,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Vanilla Fudge is an album?",False. Vanilla Fudge is an American rock band formed in 1967. I am 100% confident in this answer.,False,100,"Vanilla Fudge is a band, not an album. The band released five studio albums between 1967 and 1970, as well as several live albums and compilations.",False
http://www.wikidata.org/entity/Q7561514,http://www.wikidata.org/entity/Q482994,Songs in the Key of Beotch,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Songs in the Key of Beotch is an album?",False. Songs in the Key of Beotch is not an album. It is a song by the artist Lil' Kim. Confidence score: 100%.,False,100,"Songs in the Key of Beotch is not an album because it is not an official release. It is a compilation of songs by various artists, including the Beastie Boys, that were released on various albums.",False
http://www.wikidata.org/entity/Q4302052,http://www.wikidata.org/entity/Q482994,Gettin' That Guac,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Gettin' That Guac is an album?",False. Gettin' That Guac is not an album. It is a song by the artist Lil Yachty. I am 100% confident in this answer.,False,100,"Gettin' That Guac is not an album because it is a single song released by the artist Lil Uzi Vert. It was released as a single on April 3, 2020.",False
http://www.wikidata.org/entity/Q4826298,http://www.wikidata.org/entity/Q482994,Autograph,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Autograph is an album?",False. Autograph is a song by the band Bon Jovi.Confidence Score: 100%,False,100,Autograph is not an album because it is a single song by the band Shinedown. It was released as a single in 2003 and was later included on the band's 2004 album Us and Them.,False
http://www.wikidata.org/entity/Q5979834,http://www.wikidata.org/entity/Q482994,I Will Stand,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: I Will Stand is an album?","False. I Will Stand is a song by the band U2, released in 1987. Confidence score: 100%.",False,100,"I Will Stand is a single by the band Rascal Flatts, released in 2003. It was not released as an album, but as a single from their album Melt.",False
http://www.wikidata.org/entity/Q7065847,http://www.wikidata.org/entity/Q482994,Now We Are 5,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Now We Are 5 is an album?",False. Now We Are 5 is a song by the band The Kooks. My confidence score is 100%.,False,100,Now We Are 5 is not an album because it is a single song by the band The Who. It was released as a single in 1975 and was not included on any of their albums.,False
http://www.wikidata.org/entity/Q5222477,http://www.wikidata.org/entity/Q482994,Dare to Be Surprised,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Dare to Be Surprised is an album?","False. Dare to Be Surprised is a song by the band The Killers, released in 2004. Confidence score: 100%.",False,100,Dare to Be Surprised is not an album because it is not a collection of songs or recordings released together as a single product. It is instead a phrase used to describe a mindset of openness and willingness to experience something new.,False
http://www.wikidata.org/entity/Q3975620,http://www.wikidata.org/entity/Q482994,Strade di città,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Strade di città is an album?",False. Strade di città is a song by Italian singer-songwriter Tiziano Ferro. Rationale: Strade di città is not listed as an album on any music streaming services or music databases. Confidence Score: 100%.,False,100,"Strade di città is not an album because it is a single song by the Italian singer-songwriter, Tiziano Ferro. It was released as a single in 2020 and is not part of a larger album.",False
http://www.wikidata.org/entity/Q2158370,http://www.wikidata.org/entity/Q482994,Enamorada de Ti,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Enamorada de Ti is an album?",False. Enamorada de Ti is a song by Mexican singer Thalía.Confidence Score: 100%,False,100,"Enamorada de Ti is a single by Mexican singer Thalia, released in 2020. It is not an album because it is a single song, not a collection of songs.",False
